c_technology_pfk;c_investment_options_units_pfk;c_economic_parameter_validity_time;c_economic_parameter_types_pfk;c_economic_parameter_value;c_economic_parameter_unit_fk;c_economic_parameter_scenario_pk;c_economic_parameter_comment
tec_pv_r;un_kW;2046;ep_capex;410.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2047;ep_capex;401.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2048;ep_capex;392.6;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2049;ep_capex;384;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2050;ep_capex;375.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2019;ep_capex;2300;un_eur20p_kW;S1_PV_high_less_3kW;EuPD 2019
tec_pv_r;un_kW;2020;ep_capex;2237;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2021;ep_capex;2179;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2022;ep_capex;2126;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2023;ep_capex;2077;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2024;ep_capex;2032;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2025;ep_capex;1989;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2026;ep_capex;1950;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2027;ep_capex;1912;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2028;ep_capex;1877;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2029;ep_capex;1844;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2030;ep_capex;1813;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2031;ep_capex;1786;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2032;ep_capex;1763;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2033;ep_capex;1740;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2034;ep_capex;1718;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
