Datetime;load_kW;units
2015-01-08 18:00:00+00:00;0.984479;un_kW
2015-01-08 19:00:00+00:00;0.44065;un_kW
2015-01-08 20:00:00+00:00;0.434257;un_kW
2015-01-08 21:00:00+00:00;0.492596;un_kW
2015-01-08 22:00:00+00:00;0.487428;un_kW
2015-01-08 23:00:00+00:00;0.496365;un_kW
2015-01-09 00:00:00+00:00;0.399811;un_kW
2015-01-09 01:00:00+00:00;0.230136;un_kW
2015-01-13 16:00:00+00:00;0.658731;un_kW
2015-01-13 17:00:00+00:00;0.655068;un_kW
2015-01-13 18:00:00+00:00;0.320619;un_kW
2015-01-13 19:00:00+00:00;0.230887;un_kW
2015-01-13 20:00:00+00:00;0.257807;un_kW
2015-01-13 21:00:00+00:00;0.450657;un_kW
2015-01-13 22:00:00+00:00;0.478813;un_kW
2015-01-13 23:00:00+00:00;0.361288;un_kW
2015-01-14 00:00:00+00:00;0.354964;un_kW
2015-01-14 01:00:00+00:00;0.353825;un_kW
2015-01-14 02:00:00+00:00;0.277379;un_kW
2015-01-14 03:00:00+00:00;0.214749;un_kW
2015-01-14 04:00:00+00:00;0.23371;un_kW
2015-01-14 05:00:00+00:00;0.212518;un_kW
2015-01-14 06:00:00+00:00;0.296018;un_kW
2015-01-14 07:00:00+00:00;0.271128;un_kW
2015-01-14 08:00:00+00:00;0.945912;un_kW
2015-01-14 09:00:00+00:00;0.979762;un_kW
2015-01-14 10:00:00+00:00;0.248516;un_kW
2015-01-14 11:00:00+00:00;0.229376;un_kW
2015-01-14 12:00:00+00:00;0.224032;un_kW
2015-01-14 13:00:00+00:00;0.231567;un_kW
2015-01-14 14:00:00+00:00;0.384146;un_kW
2015-01-14 15:00:00+00:00;0.685626;un_kW
2015-01-14 16:00:00+00:00;0.857272;un_kW
2015-01-14 17:00:00+00:00;0.229378;un_kW
2015-01-14 18:00:00+00:00;0.373562;un_kW
2015-01-14 19:00:00+00:00;1.341118;un_kW
2015-01-14 20:00:00+00:00;0.363939;un_kW
2015-01-14 21:00:00+00:00;0.451274;un_kW
2015-01-14 22:00:00+00:00;0.325278;un_kW
2015-01-14 23:00:00+00:00;0.224249;un_kW
2015-01-15 00:00:00+00:00;0.211399;un_kW
2015-01-15 01:00:00+00:00;0.230271;un_kW
2015-01-15 02:00:00+00:00;0.214891;un_kW
2015-01-15 03:00:00+00:00;0.22142;un_kW
2015-01-15 04:00:00+00:00;0.23635;un_kW
2015-01-15 05:00:00+00:00;0.234811;un_kW
2015-01-15 06:00:00+00:00;0.321617;un_kW
2015-01-15 07:00:00+00:00;0.352726;un_kW
2015-01-15 08:00:00+00:00;0.339325;un_kW
2015-01-15 09:00:00+00:00;0.230942;un_kW
2015-01-15 10:00:00+00:00;0.328854;un_kW
2015-01-15 11:00:00+00:00;0.230451;un_kW
2015-01-15 12:00:00+00:00;0.317487;un_kW
2015-01-15 13:00:00+00:00;0.214273;un_kW
2015-01-15 14:00:00+00:00;0.2252;un_kW
2015-01-15 15:00:00+00:00;0.376628;un_kW
2015-01-15 16:00:00+00:00;0.234582;un_kW
2015-01-15 17:00:00+00:00;0.248393;un_kW
2015-01-15 18:00:00+00:00;0.877456;un_kW
2015-01-15 19:00:00+00:00;0.569253;un_kW
2015-01-15 20:00:00+00:00;0.480929;un_kW
2015-01-15 21:00:00+00:00;0.475439;un_kW
2015-01-15 22:00:00+00:00;0.347106;un_kW
2015-01-18 06:00:00+00:00;0.372706;un_kW
2015-01-18 07:00:00+00:00;0.779045;un_kW
2015-01-18 08:00:00+00:00;0.399393;un_kW
2015-01-18 09:00:00+00:00;0.343062;un_kW
2015-01-18 10:00:00+00:00;0.338274;un_kW
2015-01-18 11:00:00+00:00;0.498662;un_kW
2015-01-18 12:00:00+00:00;0.945853;un_kW
2015-01-18 13:00:00+00:00;1.006481;un_kW
2015-01-18 14:00:00+00:00;0.949821;un_kW
2015-01-18 15:00:00+00:00;1.003431;un_kW
2015-01-18 16:00:00+00:00;0.339552;un_kW
2015-01-18 17:00:00+00:00;0.474515;un_kW
2015-01-18 18:00:00+00:00;1.604645;un_kW
2015-01-18 19:00:00+00:00;0.333608;un_kW
2015-01-18 20:00:00+00:00;0.428302;un_kW
2015-01-18 21:00:00+00:00;0.477394;un_kW
2015-01-18 22:00:00+00:00;0.348299;un_kW
2015-01-18 23:00:00+00:00;0.380083;un_kW
2015-01-19 00:00:00+00:00;0.353008;un_kW
2015-01-19 01:00:00+00:00;0.472341;un_kW
2015-01-19 02:00:00+00:00;0.399475;un_kW
2015-01-19 03:00:00+00:00;0.346064;un_kW
2015-01-19 04:00:00+00:00;0.349412;un_kW
2015-01-19 05:00:00+00:00;0.342397;un_kW
2015-01-19 06:00:00+00:00;0.339839;un_kW
2015-01-19 07:00:00+00:00;0.34042;un_kW
2015-01-19 08:00:00+00:00;0.348225;un_kW
2015-01-19 09:00:00+00:00;0.87864;un_kW
2015-01-19 10:00:00+00:00;0.677769;un_kW
2015-01-19 11:00:00+00:00;0.329905;un_kW
2015-01-19 12:00:00+00:00;0.367429;un_kW
2015-01-19 13:00:00+00:00;0.211449;un_kW
2015-01-19 14:00:00+00:00;0.282589;un_kW
2015-01-19 15:00:00+00:00;0.397494;un_kW
2015-01-19 16:00:00+00:00;0.304502;un_kW
2015-01-19 17:00:00+00:00;0.323601;un_kW
2015-01-19 18:00:00+00:00;0.336307;un_kW
2015-01-19 19:00:00+00:00;0.417243;un_kW
2015-01-19 20:00:00+00:00;0.728945;un_kW
2015-01-19 21:00:00+00:00;0.491668;un_kW
2015-01-19 22:00:00+00:00;0.509549;un_kW
2015-01-19 23:00:00+00:00;0.493662;un_kW
2015-01-20 00:00:00+00:00;0.418706;un_kW
2015-01-20 01:00:00+00:00;0.337373;un_kW
2015-01-20 02:00:00+00:00;0.348973;un_kW
2015-01-20 03:00:00+00:00;0.220615;un_kW
2015-01-20 04:00:00+00:00;0.217106;un_kW
2015-01-20 05:00:00+00:00;0.218598;un_kW
2015-01-20 06:00:00+00:00;0.305219;un_kW
2015-01-20 07:00:00+00:00;0.351206;un_kW
2015-01-20 08:00:00+00:00;0.495053;un_kW
2015-01-20 09:00:00+00:00;0.35801;un_kW
2015-01-20 10:00:00+00:00;0.766677;un_kW
2015-01-20 11:00:00+00:00;0.510048;un_kW
2015-01-20 12:00:00+00:00;0.311716;un_kW
2015-01-22 20:00:00+00:00;0.449109;un_kW
2015-01-22 21:00:00+00:00;0.353572;un_kW
2015-01-22 22:00:00+00:00;0.34754;un_kW
2015-01-22 23:00:00+00:00;0.268033;un_kW
2015-01-23 00:00:00+00:00;0.227127;un_kW
2015-01-23 01:00:00+00:00;0.230075;un_kW
2015-01-23 02:00:00+00:00;0.231822;un_kW
2015-01-23 03:00:00+00:00;0.230706;un_kW
2015-01-23 04:00:00+00:00;0.232428;un_kW
2015-01-23 05:00:00+00:00;0.228119;un_kW
2015-01-23 06:00:00+00:00;0.275862;un_kW
2015-01-23 07:00:00+00:00;0.311344;un_kW
2015-01-23 08:00:00+00:00;0.434121;un_kW
2015-01-23 09:00:00+00:00;0.314116;un_kW
2015-01-23 10:00:00+00:00;0.861878;un_kW
2015-01-23 11:00:00+00:00;0.221955;un_kW
2015-01-23 12:00:00+00:00;0.227709;un_kW
2015-01-23 13:00:00+00:00;0.552633;un_kW
2015-01-23 14:00:00+00:00;0.380435;un_kW
2015-01-23 15:00:00+00:00;0.227753;un_kW
2015-01-23 16:00:00+00:00;0.24458;un_kW
2015-01-23 17:00:00+00:00;0.331613;un_kW
2015-01-23 18:00:00+00:00;0.339565;un_kW
2015-01-23 19:00:00+00:00;0.413399;un_kW
2015-01-23 20:00:00+00:00;0.482583;un_kW
2015-01-23 21:00:00+00:00;0.49607;un_kW
2015-01-23 22:00:00+00:00;0.348013;un_kW
2015-01-23 23:00:00+00:00;0.279883;un_kW
2015-01-24 00:00:00+00:00;0.232868;un_kW
2015-01-24 01:00:00+00:00;0.222143;un_kW
2015-01-24 02:00:00+00:00;0.210618;un_kW
2015-01-24 03:00:00+00:00;0.226147;un_kW
2015-01-24 04:00:00+00:00;0.213067;un_kW
2015-01-24 05:00:00+00:00;0.302531;un_kW
2015-01-24 06:00:00+00:00;0.26539;un_kW
2015-01-24 07:00:00+00:00;0.238163;un_kW
2015-01-24 08:00:00+00:00;0.339934;un_kW
2015-01-24 09:00:00+00:00;1.414456;un_kW
2015-01-24 10:00:00+00:00;0.966322;un_kW
2015-01-24 11:00:00+00:00;0.222707;un_kW
2015-01-24 12:00:00+00:00;0.225124;un_kW
2015-01-24 13:00:00+00:00;0.299459;un_kW
2015-01-24 14:00:00+00:00;0.367302;un_kW
2015-01-24 15:00:00+00:00;0.212797;un_kW
2015-01-24 16:00:00+00:00;0.242563;un_kW
2015-01-24 17:00:00+00:00;0.227707;un_kW
2015-01-24 18:00:00+00:00;1.007309;un_kW
2015-01-24 19:00:00+00:00;1.063261;un_kW
2015-01-24 20:00:00+00:00;0.525352;un_kW
2015-01-24 21:00:00+00:00;0.493223;un_kW
2015-01-24 22:00:00+00:00;0.23518;un_kW
2015-01-24 23:00:00+00:00;0.219007;un_kW
2015-01-25 00:00:00+00:00;0.220474;un_kW
2015-01-25 01:00:00+00:00;0.213855;un_kW
2015-01-25 02:00:00+00:00;0.229926;un_kW
2015-01-27 10:00:00+00:00;0.242178;un_kW
2015-01-27 11:00:00+00:00;0.32841;un_kW
2015-01-27 12:00:00+00:00;1.07628;un_kW
2015-01-27 13:00:00+00:00;0.222171;un_kW
2015-01-27 14:00:00+00:00;0.234427;un_kW
2015-01-27 15:00:00+00:00;0.269602;un_kW
2015-01-27 16:00:00+00:00;0.244974;un_kW
2015-01-27 17:00:00+00:00;0.295466;un_kW
2015-01-27 18:00:00+00:00;0.216111;un_kW
2015-01-27 19:00:00+00:00;0.206759;un_kW
2015-01-27 20:00:00+00:00;0.361116;un_kW
2015-01-27 21:00:00+00:00;0.245154;un_kW
2015-01-27 22:00:00+00:00;0.219491;un_kW
2015-01-27 23:00:00+00:00;0.251885;un_kW
2015-01-28 00:00:00+00:00;0.223587;un_kW
2015-01-28 01:00:00+00:00;0.215829;un_kW
2015-01-28 02:00:00+00:00;0.243046;un_kW
2015-01-28 03:00:00+00:00;0.214664;un_kW
2015-01-28 04:00:00+00:00;0.210041;un_kW
2015-01-28 05:00:00+00:00;0.217801;un_kW
2015-01-28 06:00:00+00:00;0.211838;un_kW
2015-01-28 07:00:00+00:00;0.307546;un_kW
2015-01-28 08:00:00+00:00;0.327035;un_kW
2015-01-28 09:00:00+00:00;0.345747;un_kW
2015-01-28 10:00:00+00:00;0.235428;un_kW
2015-01-28 11:00:00+00:00;0.242637;un_kW
2015-01-28 12:00:00+00:00;0.242206;un_kW
2015-01-28 13:00:00+00:00;0.228348;un_kW
2015-01-28 14:00:00+00:00;0.76586;un_kW
2015-01-28 15:00:00+00:00;2.592922;un_kW
2015-01-28 16:00:00+00:00;0.281816;un_kW
2015-01-28 17:00:00+00:00;0.216167;un_kW
2015-01-28 18:00:00+00:00;0.21626;un_kW
2015-01-28 19:00:00+00:00;0.230493;un_kW
2015-01-28 20:00:00+00:00;0.329884;un_kW
2015-01-28 21:00:00+00:00;0.374721;un_kW
2015-01-28 22:00:00+00:00;0.369768;un_kW
2015-01-28 23:00:00+00:00;0.335521;un_kW
2015-01-29 00:00:00+00:00;0.231431;un_kW
2015-01-29 01:00:00+00:00;0.21234;un_kW
2015-01-29 02:00:00+00:00;0.226748;un_kW
2015-01-29 03:00:00+00:00;0.298314;un_kW
2015-01-29 04:00:00+00:00;0.351705;un_kW
2015-01-29 05:00:00+00:00;0.352491;un_kW
2015-01-29 06:00:00+00:00;0.34729;un_kW
2015-01-29 07:00:00+00:00;0.353383;un_kW
2015-01-29 08:00:00+00:00;0.469753;un_kW
2015-01-29 09:00:00+00:00;0.386115;un_kW
2015-01-29 10:00:00+00:00;0.31505;un_kW
2015-01-29 11:00:00+00:00;0.272184;un_kW
2015-01-29 12:00:00+00:00;0.229976;un_kW
2015-01-29 13:00:00+00:00;0.384793;un_kW
2015-01-29 14:00:00+00:00;1.050474;un_kW
2015-01-29 15:00:00+00:00;0.231902;un_kW
2015-01-29 16:00:00+00:00;0.239457;un_kW
2015-02-01 00:00:00+00:00;0.358384;un_kW
2015-02-01 01:00:00+00:00;0.335721;un_kW
2015-02-01 02:00:00+00:00;0.322588;un_kW
2015-02-01 03:00:00+00:00;0.225287;un_kW
2015-02-01 04:00:00+00:00;0.253247;un_kW
2015-02-01 05:00:00+00:00;0.299202;un_kW
2015-02-01 06:00:00+00:00;0.353071;un_kW
2015-02-01 07:00:00+00:00;0.905537;un_kW
2015-02-01 08:00:00+00:00;0.732637;un_kW
2015-02-01 09:00:00+00:00;1.417411;un_kW
2015-02-01 10:00:00+00:00;1.669907;un_kW
2015-02-01 11:00:00+00:00;0.225221;un_kW
2015-02-01 12:00:00+00:00;0.247986;un_kW
2015-02-01 13:00:00+00:00;0.239511;un_kW
2015-02-01 14:00:00+00:00;1.32895;un_kW
2015-02-01 15:00:00+00:00;0.853589;un_kW
2015-02-01 16:00:00+00:00;0.530042;un_kW
2015-02-01 17:00:00+00:00;0.266598;un_kW
2015-02-01 18:00:00+00:00;0.318741;un_kW
2015-02-01 19:00:00+00:00;0.347586;un_kW
2015-02-01 20:00:00+00:00;0.338852;un_kW
2015-02-01 21:00:00+00:00;0.281945;un_kW
2015-02-01 22:00:00+00:00;0.331103;un_kW
2015-02-01 23:00:00+00:00;0.229572;un_kW
2015-02-02 00:00:00+00:00;0.231825;un_kW
2015-02-02 01:00:00+00:00;0.230459;un_kW
2015-02-02 02:00:00+00:00;0.232425;un_kW
2015-02-02 03:00:00+00:00;0.225897;un_kW
