c_technology_pfk;c_investment_options_units_pfk;c_economic_parameter_validity_time;c_economic_parameter_value;c_economic_parameter_unit_fk;c_economic_parameter_scenario_pk;c_economic_parameter_comment
tec_bat_li;un_kWh;2045;722;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2046;701;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2047;681;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2048;660;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2049;639;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2050;619;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2019;1000;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2020;1000;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2021;950;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2022;900;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2023;850;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2024;800;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2025;750;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2026;700;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2027;650;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2028;600;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2029;550;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2030;500;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2031;482;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2032;463;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2033;445;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2034;426;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2035;408;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2036;389;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2037;371;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2038;352;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2039;334;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2040;315;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2041;303;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2042;292;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2043;280;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2044;268;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2045;257;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2046;245;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2047;233;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2048;222;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2049;210;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2050;198;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2019;1500;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2020;1500;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2021;1425;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2022;1350;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2023;1275;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2024;1200;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2025;1125;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2026;1050;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2027;975;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2028;900;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2029;825;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2030;750;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2031;731;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2032;713;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2033;694;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2034;675;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2035;656;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2036;638;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2037;619;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2038;600;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2039;581;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2040;563;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2041;548;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2042;534;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2043;520;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2044;506;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2045;492;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2046;478;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2047;464;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2048;450;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2049;436;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2050;422;un_eur20_p_kWh_el;S2_battery_high_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2019;750;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2020;750;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2021;713;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2022;675;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2023;638;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2024;600;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2025;563;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2026;525;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
