;AEL_3.1_pessimistic;AEL_10_pessimistic;AEL_310_pessimistic;AEL_590_pessimistic;AEL_1000_pessimistic;PEM_3.1_pessimistic;PEM_10_pessimistic;PEM_310_pessimistic;PEM_590_pessimistic;PEM_1000_pessimistic;AEL_3.1_realistic;AEL_10_realistic;AEL_310_realistic;AEL_590_realistic;AEL_1000_realistic;PEM_3.1_realistic;PEM_10_realistic;PEM_310_realistic;PEM_590_realistic;PEM_1000_realistic;AEL_3.1_optimistic;AEL_10_optimistic;AEL_310_optimistic;AEL_590_optimistic;AEL_1000_optimistic;PEM_3.1_optimistic;PEM_10_optimistic;PEM_310_optimistic;PEM_590_optimistic;PEM_1000_optimistic
# Unit; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] 
# Price level; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic 
2068;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
2069;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
2070;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
2071;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
2072;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
2073;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
2074;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
2075;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
2076;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
2077;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
2078;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
2079;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
2080;834.73;740.84;478.87;418.33;414.00;855.78;751.88;491.52;412.21;412.21;670.63;606.50;431.55;394.01;387.00;693.51;630.67;444.05;387.35;387.35;506.52;472.15;384.24;369.68;360.00;531.23;509.46;396.57;362.50;362.50
