;injection_pessimistic;injection_optimistic;biomethan;electricity_optimistic;electricity_pessimistic;industry_3.1_pessimistic;industry_3.1_optimistic;industry_10_pessimistic;industry_10_optimistic;Market price_high_w/o distribution;Market price_low_w/o distribution;Market price_high_w/ distribution;Market price_low_w/ distribution;mobility_pessimistic;mobility_optimistic;Mobility_LKW;Mobility_LKW;Mobility_PKW (low efficient improvements);Mobility_PKW (low efficient improvements);Mobility_LKW_EV;Mobility_LKW_EV;Mobility_LKW_EV;Mobility_PKW_EV;Mobility_PKW_EV;Mobility_PKW_EV;Mobility_LKW - minus 50% in 2050 - high;Mobility_LKW - minus 50% in 2050 - low;Wholesales price;Wholesales price
# Unit; [€ct/kWh] ; [€ct/kWh] ;; [€ct/kWh] ; [€ct/kWh] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ;;; [€ct/kWh] ; [€ct/kWh] 
2018; Optimistic ; Pessimistic ;; Pessimistic ; Optimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; High ; Low ; Pessimistic ; Realistic ; Optimistic ; Pessimistic ; Realistic ; Optimistic ;;; Optimistic ; Pessimistic 
2039;4.93;2.67;8.16;12.13;19.80;6.25;5.57;6.56;5.85;6.25;5.57;6.56;5.85;9.94;8.82;9.35;8.06;9.94;8.82;7.67;6.62;5.57;10.49;;8.12;9.52;7.93;6.06;9.90
2040;5.18;2.68;8.06;12.26;20.44;6.42;5.67;6.74;5.96;6.42;5.67;6.74;5.96;10.03;8.80;9.57;8.14;10.03;8.80;7.86;6.74;5.62;10.61;;8.10;9.70;7.95;6.13;10.22
2041;5.44;2.69;7.97;12.39;21.07;6.60;5.77;6.93;6.06;6.60;5.77;6.93;6.06;10.22;8.86;9.76;8.18;10.22;8.86;8.08;6.89;5.70;10.80;;8.14;9.88;7.97;6.20;10.54
2042;5.73;2.70;7.87;12.52;21.71;6.78;5.87;7.12;6.16;6.78;5.87;7.12;6.16;10.44;8.93;10.02;8.28;10.44;8.93;8.32;7.05;5.78;11.00;;8.18;10.06;7.98;6.26;10.85
2043;6.04;2.71;7.77;12.64;22.34;6.97;5.97;7.32;6.27;6.97;5.97;7.32;6.27;10.66;9.01;10.30;8.37;10.66;9.01;8.57;7.22;5.87;11.19;;8.22;10.24;8.00;6.32;11.17
2044;6.37;2.72;7.68;12.76;22.98;7.16;6.07;7.52;6.37;7.16;6.07;7.52;6.37;10.90;9.08;10.60;8.47;10.90;9.08;8.82;7.39;5.96;11.39;;8.25;10.42;8.02;6.38;11.49
2045;6.72;2.73;7.58;12.88;23.61;7.37;6.17;7.74;6.48;7.37;6.17;7.74;6.48;11.15;9.15;10.91;8.57;11.15;9.15;9.07;7.56;6.05;11.58;;8.29;10.60;8.04;6.44;11.81
2046;7.10;2.74;7.48;12.99;24.25;7.58;6.27;7.96;6.58;7.58;6.27;7.96;6.58;11.42;9.22;11.25;8.67;11.42;9.22;9.32;7.73;6.14;11.78;;8.33;10.79;8.06;6.50;12.12
2047;7.52;2.75;7.39;13.11;24.88;7.80;6.37;8.19;6.69;7.80;6.37;8.19;6.69;11.70;9.29;11.61;8.77;11.70;9.29;9.58;7.90;6.23;11.97;;8.36;10.97;8.08;6.55;12.44
2048;7.96;2.76;7.29;13.22;25.52;8.03;6.47;8.43;6.79;8.03;6.47;8.43;6.79;11.99;9.36;11.99;8.87;11.99;9.36;9.84;8.08;6.31;12.16;;8.39;11.15;8.10;6.61;12.76
