;AEL;PEM;compressor;storage_tank;salt_cavern;filling_center;trailer;truck;HRS;injection_station;gas_turbine;CHP 
# [% eq. CAPEX];[% eq. CAPEX];[% eq. CAPEX];[% eq. CAPEX];[% eq. CAPEX];[% eq. CAPEX];[% eq. CAPEX];[% eq. CAPEX];[% eq. CAPEX];[% eq. CAPEX];[% eq. CAPEX];[% eq. CAPEX]
1;0.03;0.02;0.03;0.02;0.04;0.03;0.04;0.13;0.08;0.02;0.02;0.02
