c_specific_emissions_electricity_mix_year;c_specific_emissions_value
2018;0.53
2019;0.53
2020;0.53
2021;0.51
2022;0.49
2023;0.47
2024;0.45
2025;0.43
2026;0.41
2027;0.38
2028;0.36
2029;0.34
2030;0.32
2031;0.3
2032;0.28
2033;0.26
2034;0.25
2035;0.23
2036;0.21
2037;0.19
2038;0.17
2039;0.15
2040;0.13
2041;0.13
2042;0.12
2043;0.12
2044;0.11
2045;0.1
2046;0.1
2047;0.09
2048;0.08
2049;0.08
2050;0.07
