,capacity_optimistic,annex_optimistic,capacity_pessimistic,annex_pessimistic,capacity_max,annex_max,capacity_min,annex_min,capacity_mean,annex_mean
2009,0.0004104638621572745,0.0,0.0004104638621572745,0.0,0.0004104638621572745,0.0,0.0004104638621572745,0.0,0.0004104638621572745,0.0
2010,0.0006786879149026269,0.0002682240527453525,0.0006786879149026269,0.0002682240527453525,0.0006786879149026269,0.0002682240527453525,0.0006786879149026269,0.0002682240527453525,0.0006786879149026269,0.0002682240527453525
2011,0.0011223374702100442,0.0004436495553074174,0.0011223374702100442,0.0004436495553074174,0.0011223374702100442,0.0004436495553074174,0.0011223374702100442,0.0004436495553074174,0.0011223374702100442,0.0004436495553074174
2012,0.0018562411624595042,0.0007339036922494597,0.0018562411624595042,0.0007339036922494597,0.0018562411624595042,0.0007339036922494597,0.0018562411624595042,0.0007339036922494597,0.0018562411624595042,0.0007339036922494597
2013,0.00307045107175267,0.0012142099092931655,0.00307045107175267,0.0012142099092931655,0.00307045107175267,0.0012142099092931655,0.00307045107175267,0.0012142099092931655,0.00307045107175267,0.0012142099092931655
2014,0.0050795563355982105,0.002009105263845541,0.0050795563355982105,0.002009105263845541,0.0050795563355982105,0.002009105263845541,0.0050795563355982105,0.002009105263845541,0.0050795563355982105,0.002009105263845541
2015,0.00840434189899172,0.0033247855633935105,0.00840434189899172,0.0033247855633935105,0.00840434189899172,0.0033247855633935105,0.00840434189899172,0.0033247855633935105,0.00840434189899172,0.0033247855633935105
2016,0.01390700893927558,0.005502667040283858,0.01390700893927558,0.005502667040283858,0.01390700893927558,0.005502667040283858,0.01390700893927558,0.005502667040283858,0.01390700893927558,0.005502667040283858
2017,0.02301507403227524,0.009108065092999662,0.02301507403227524,0.009108065092999662,0.02301507403227524,0.009108065092999662,0.02301507403227524,0.009108065092999662,0.02301507403227524,0.009108065092999662
2018,0.038092031893405785,0.01507695786113055,0.038092031893405785,0.01507695786113055,0.038092031893405785,0.01507695786113055,0.038092031893405785,0.01507695786113055,0.038092031893405785,0.01507695786113055
2019,0.06305073882969377,0.024958706936287968,0.06305073882969377,0.024958706936287968,0.06305073882969377,0.024958706936287968,0.06305073882969377,0.024958706936287968,0.06305073882969377,0.024958706936287968
2020,0.06552975688108863,0.0024790180513948766,0.06552975688108863,0.0024790180513948766,0.06552975688108863,0.0024790180513948766,0.06552975688108863,0.0024790180513948766,0.06552975688108863,0.0024790180513948766
2021,0.06810594313367647,0.002576186252587845,0.06810594313367647,0.002576186252587845,0.06826030367355247,0.0027305467924638492,0.06810594313367647,0.002576186252587845,0.06810594313367647,0.002576186252587845
2022,0.07422238018632998,0.006116437052653506,0.07422238018632998,0.006116437052653506,0.0762279514735402,0.007967647799987723,0.07422238018632998,0.006116437052653506,0.07422238018632998,0.006116437052653506
2023,0.08090168301417876,0.006679302827848763,0.08090168301417876,0.006679302827848763,0.08598213212814795,0.009754180654607748,0.08090168301417876,0.006679302827848763,0.08090168301417876,0.006679302827848763
2024,0.08819509981010286,0.007293416795924117,0.08819509981010286,0.007293416795924117,0.09806143298993553,0.012079300861787578,0.08819509981010286,0.007293416795924117,0.08819509981010286,0.007293416795924117
2025,0.09615709495269328,0.007961995142590418,0.09615709495269328,0.007961995142590418,0.11329924314854464,0.01523781015860911,0.09615709495269328,0.007961995142590418,0.09615709495269328,0.007961995142590418
