,re_electrification_AEL_10_pessimistic_full_grid,re_electrification_AEL_10_pessimistic_energy_intensive_grid,re_electrification_AEL_10_pessimistic_full_self-consumption,re_electrification_AEL_10_optimistic_full_grid,re_electrification_AEL_10_optimistic_energy_intensive_grid,re_electrification_AEL_10_optimistic_full_self-consumption,re_electrification_AEL_310_pessimistic_full_grid,re_electrification_AEL_310_pessimistic_energy_intensive_grid,re_electrification_AEL_310_pessimistic_full_self-consumption,re_electrification_AEL_310_optimistic_full_grid,re_electrification_AEL_310_optimistic_energy_intensive_grid,re_electrification_AEL_310_optimistic_full_self-consumption,re_electrification_AEL_590_pessimistic_full_grid,re_electrification_AEL_590_pessimistic_energy_intensive_grid,re_electrification_AEL_590_pessimistic_full_self-consumption,re_electrification_AEL_590_optimistic_full_grid,re_electrification_AEL_590_optimistic_energy_intensive_grid,re_electrification_AEL_590_optimistic_full_self-consumption,re_electrification_PEM_10_pessimistic_full_grid,re_electrification_PEM_10_pessimistic_energy_intensive_grid,re_electrification_PEM_10_pessimistic_full_self-consumption,re_electrification_PEM_10_optimistic_full_grid,re_electrification_PEM_10_optimistic_energy_intensive_grid,re_electrification_PEM_10_optimistic_full_self-consumption,re_electrification_PEM_310_pessimistic_full_grid,re_electrification_PEM_310_pessimistic_energy_intensive_grid,re_electrification_PEM_310_pessimistic_full_self-consumption,re_electrification_PEM_310_optimistic_full_grid,re_electrification_PEM_310_optimistic_energy_intensive_grid,re_electrification_PEM_310_optimistic_full_self-consumption,re_electrification_PEM_590_pessimistic_full_grid,re_electrification_PEM_590_pessimistic_energy_intensive_grid,re_electrification_PEM_590_pessimistic_full_self-consumption,re_electrification_PEM_590_optimistic_full_grid,re_electrification_PEM_590_optimistic_energy_intensive_grid,re_electrification_PEM_590_optimistic_full_self-consumption
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1150189211239715,0.0,0.0,-0.10542533748358096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09546056612517151,0.0,0.0,-0.0892882705328305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07850213059662059,0.0,0.0,-0.07592266898203537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06346816288248525,0.0,0.0,-0.06290468798767768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049542157770868456,0.0,0.0,-0.053068502071670465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03589039845849784,0.0,0.0,-0.04391083213483016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14160666700853097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022285209548421947,0.0,0.0,-0.03494726318913288,0.0,0.0,0.0,-0.23181495939742625,-0.23181495939742625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10405987613770296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009381877223030077,0.0,0.0,-0.027163861941086886,0.0,0.0,0.0,-0.17438867540395986,-0.17438867540395986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08112840325864246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003227215255046101,0.0,0.0,-0.018259101861475613,0.0,0.0,0.0,-0.15220622949489881,-0.15220622949489881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0626014990968049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015871387789833546,0.0,0.0,-0.01245242777623723,0.0,0.0,0.0,-0.13742086432436995,-0.13742086432436995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0460055854300192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02886186089718712,0.0,0.0,-0.005966023632363648,0.0,0.0,0.0,-0.1259918350816137,-0.1259918350816137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030326908532921415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04184984303466521,0.0,0.0,-0.002422335669381659,-0.23258246616744438,-0.23258246616744438,0.0,-0.11740314869450053,-0.11740314869450053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013807525630505801,0.0,0.0,-0.08108373112915901,0.0,0.0,0.0,0.0,0.0,0.0
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054013340107486485,0.0,0.0,0.008023075402338264,-0.19143157262229016,-0.19143157262229016,0.0,-0.10324024960354139,-0.10324024960354139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012439832432526998,0.0,0.0,-0.05767934456045465,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06686998745923822,0.0,0.0,0.013127445682359795,-0.17626696852947632,-0.17626696852947632,0.0,-0.0925353404718563,-0.0925353404718563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012818145138270731,0.0,0.0,-0.04670885259911706,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0795792210241375,0.0,0.0,0.016654770741075797,-0.16071937873059927,-0.16071937873059927,0.0,-0.08691555322980138,-0.08691555322980138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026552895211947813,0.0,0.0,-0.037295044602139615,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,-0.17173266699243195,-0.17173266699243195,0.0,0.0,0.0,0.09161777445826869,0.0,0.0,0.025099232516070824,-0.14840763553056424,-0.14840763553056424,0.0,-0.08110293025860982,-0.08110293025860982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03978353457396566,0.0,0.0,-0.023180988679835535,0.0,0.0,0.0,0.0,0.0,0.0
2035,0.0,0.0,0.0,-0.1559766521523901,-0.1559766521523901,0.0,0.0,0.0,0.10254534758883826,0.0,0.0,0.028793466164367842,-0.13811714715363788,-0.13811714715363788,0.0,-0.07639498441673154,-0.07639498441673154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05234087412584931,0.0,0.0,-0.01608748264338211,0.0,0.0,0.0,0.0,0.0,0.0
2036,0.0,0.0,0.0,-0.1447131768633696,-0.1447131768633696,0.0,0.0,0.0,0.11548973533446483,0.0,0.0,0.03265184978351199,-0.12916858274467857,-0.12916858274467857,0.0,-0.07211320051091352,-0.07211320051091352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06611807207920806,0.0,0.0,-0.009341693583953314,0.0,0.0,0.0,0.0,0.0,0.0
2037,0.0,0.0,0.0,-0.13579387938395393,-0.13579387938395393,0.0,0.0,0.0,0.1285529451529237,0.0,0.0,0.036294730258707775,-0.1212721634022963,-0.1212721634022963,0.0,-0.06817281166405109,-0.06817281166405109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08014494437170838,0.0,0.0,-0.0033399304578273226,0.0,0.0,0.0,0.0,0.0,0.0
2038,0.0,0.0,0.0,-0.12831133170068254,-0.12831133170068254,0.0,0.0,0.0,0.1419664974614483,0.0,0.0,0.03969125790606598,-0.11419395673757649,-0.11419395673757649,0.0,-0.06459623034398365,-0.06459623034398365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09439338001800257,0.0,0.0,0.0013785572958779913,0.0,0.0,0.0,0.0,0.0,0.0
2039,0.0,0.0,0.0,-0.12200693366866755,-0.12200693366866755,0.0,0.0,0.0,0.15601017691532637,0.0,0.0,0.04289206547785618,-0.10775047382338321,-0.10775047382338321,0.0,-0.06137139059495189,-0.06137139059495189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10889631379525455,0.0,0.0,0.006275677270836777,0.0,0.0,0.0,0.0,0.0,0.0
2040,0.0,0.0,0.0,-0.11644266030832962,-0.11644266030832962,0.0,0.0,0.0,0.17072775945553142,0.0,0.0,0.045956261798503206,-0.10209709144878043,-0.10209709144878043,0.0,-0.0584569925974725,-0.0584569925974725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12430281966158896,0.0,0.0,0.010748928488686138,0.0,0.0,0.0,0.0,0.0,0.0
2041,0.0,0.0,0.0,-0.10721867933992257,-0.10721867933992257,0.0,0.0,0.0,0.18617424057108467,0.0,0.0,0.049478651661279516,-0.09803471794836083,-0.09803471794836083,0.0,-0.05427090405032664,-0.05427090405032664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14068282417255884,0.0,0.0,0.01477567039546912,0.0,0.0,0.0,0.0,0.0,0.0
2042,0.0,0.0,0.0,-0.10349107491519749,-0.10349107491519749,0.0,0.0,0.0,0.20208019552899126,0.0,0.0,0.05212525979981786,-0.0937134590313472,-0.0937134590313472,0.0,-0.05202593099826902,-0.05202593099826902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581186111117192,0.0,0.0,0.01846612679737314,0.0,0.0,0.0,0.0,0.0,0.0
2043,0.0,0.0,0.0,-0.10010119980791055,-0.10010119980791055,0.0,0.0,0.0,0.2184434068022285,0.0,0.0,0.054559231807427055,-0.08982031572379745,-0.08982031572379745,0.0,-0.04989843347186529,-0.04989843347186529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1766154075271853,0.0,0.0,0.02179304975856322,0.0,0.0,0.0,0.0,0.0,0.0
2044,0.0,0.0,0.0,-0.09704770500085169,-0.09704770500085169,0.0,0.0,0.0,0.235062690966662,0.0,0.0,0.05679862699217231,-0.08627349657423167,-0.08627349657423167,0.0,-0.048031148191509665,-0.048031148191509665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1957308626631713,0.0,0.0,0.02407041510252994,0.0,0.0,0.0,0.0,0.0,0.0
2045,0.0,0.0,0.0,-0.09435708408068233,-0.09435708408068233,0.0,0.0,0.0,0.2516903524857339,0.0,0.0,0.05877664036235419,-0.08311013748150375,-0.08311013748150375,0.0,-0.046387310880425914,-0.046387310880425914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21564950441153918,0.0,0.0,0.02657798184365401,0.0,0.0,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,-0.09189528107911848,-0.09189528107911848,0.0,0.0,0.0,0.26757701968820946,0.0,0.0,0.060525749864718925,-0.08046171411789904,-0.08046171411789904,0.0,-0.044924732457874095,-0.044924732457874095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23588437177784383,0.0,0.0,0.028733547333095633,0.0,0.0,0.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,-0.08973555709712977,-0.08973555709712977,0.0,0.0,0.0,0.2820978451238201,0.0,0.0,0.06194585748183834,-0.07824326412742344,-0.07824326412742344,0.0,-0.043674364570310154,-0.043674364570310154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255864455615068,0.0,0.0,0.030424576012805904,0.0,0.0,0.0,0.0,0.0,0.0
