,capacity_optimistic,annex_optimistic,capacity_pessimistic,annex_pessimistic,capacity_max,annex_max,capacity_min,annex_min,capacity_mean,annex_mean
2009,0.00014100766641997732,0.0,0.00014100766641997732,0.0,0.00014100766641997732,0.0,0.00014100766641997732,0.0,0.00014100766641997732,0.0
2010,0.00022955584704724787,8.854818062727055e-05,0.00022955584704724787,8.854818062727055e-05,0.00022955584704724787,8.854818062727055e-05,0.00022955584704724787,8.854818062727055e-05,0.00022955584704724787,8.854818062727055e-05
2011,0.00037370891216257713,0.00014415306511532925,0.00037370891216257713,0.00014415306511532925,0.00037370891216257713,0.00014415306511532925,0.00037370891216257713,0.00014415306511532925,0.00037370891216257713,0.00014415306511532925
2012,0.0006083838470418021,0.00023467493487922502,0.0006083838470418021,0.00023467493487922502,0.0006083838470418021,0.00023467493487922502,0.0006083838470418021,0.00023467493487922502,0.0006083838470418021,0.00023467493487922502
2013,0.0009904224329046081,0.000382038585862806,0.0009904224329046081,0.000382038585862806,0.0009904224329046081,0.000382038585862806,0.0009904224329046081,0.000382038585862806,0.0009904224329046081,0.000382038585862806
2014,0.0016123560097524687,0.0006219335768478606,0.0016123560097524687,0.0006219335768478606,0.0016123560097524687,0.0006219335768478606,0.0016123560097524687,0.0006219335768478606,0.0016123560097524687,0.0006219335768478606
2015,0.00262480855968508,0.0010124525499326114,0.00262480855968508,0.0010124525499326114,0.00262480855968508,0.0010124525499326114,0.00262480855968508,0.0010124525499326114,0.00262480855968508,0.0010124525499326114
2016,0.004272953575678254,0.0016481450159931735,0.004272953575678254,0.0016481450159931735,0.004272953575678254,0.0016481450159931735,0.004272953575678254,0.0016481450159931735,0.004272953575678254,0.0016481450159931735
2017,0.006955825850023088,0.0026828722743448344,0.006955825850023088,0.0026828722743448344,0.006955825850023088,0.0026828722743448344,0.006955825850023088,0.0026828722743448344,0.006955825850023088,0.0026828722743448344
2018,0.011322776223052328,0.00436695037302924,0.011322776223052328,0.00436695037302924,0.011322776223052328,0.00436695037302924,0.011322776223052328,0.00436695037302924,0.011322776223052328,0.00436695037302924
