,mobility_AEL_3.1_pessimistic_full_grid,mobility_AEL_3.1_pessimistic_energy_intensive_grid,mobility_AEL_3.1_pessimistic_full_self-consumption,mobility_AEL_3.1_optimistic_full_grid,mobility_AEL_3.1_optimistic_energy_intensive_grid,mobility_AEL_3.1_optimistic_full_self-consumption,mobility_AEL_10_pessimistic_full_grid,mobility_AEL_10_pessimistic_energy_intensive_grid,mobility_AEL_10_pessimistic_full_self-consumption,mobility_AEL_10_optimistic_full_grid,mobility_AEL_10_optimistic_energy_intensive_grid,mobility_AEL_10_optimistic_full_self-consumption,mobility_PEM_3.1_pessimistic_full_grid,mobility_PEM_3.1_pessimistic_energy_intensive_grid,mobility_PEM_3.1_pessimistic_full_self-consumption,mobility_PEM_3.1_optimistic_full_grid,mobility_PEM_3.1_optimistic_energy_intensive_grid,mobility_PEM_3.1_optimistic_full_self-consumption,mobility_PEM_10_pessimistic_full_grid,mobility_PEM_10_pessimistic_energy_intensive_grid,mobility_PEM_10_pessimistic_full_self-consumption,mobility_PEM_10_optimistic_full_grid,mobility_PEM_10_optimistic_energy_intensive_grid,mobility_PEM_10_optimistic_full_self-consumption
2019,0.0,0.0,-0.12761342473351,0.0,-0.06891370310858036,0.042067684130616234,0.0,0.0,0.0,0.0,0.0,0.0183613639303446,0.0,0.0,0.0,0.0,0.0,-0.020667748737552283,0.0,0.0,0.0,0.0,0.0,-0.035817498523336155
2020,0.0,0.0,-0.09059797298966843,0.0,-0.040008114722960175,0.0634632650385678,0.0,0.0,-0.1654106276683701,0.0,-0.12804459394551115,0.03654844750200836,0.0,0.0,0.0,0.0,0.0,-6.58431819695604e-05,0.0,0.0,0.0,0.0,0.0,-0.014048940018008493
2021,0.0,0.0,-0.070840039993885,0.0,-0.02722595531490213,0.07886411326912723,0.0,0.0,-0.120586193917961,0.0,-0.09383465056585105,0.04883818543626983,0.0,0.0,0.0,0.0,0.0,0.014478032543347563,0.0,0.0,0.0,0.0,0.0,0.0008450277014109275
2022,0.0,0.0,-0.05478651319137684,0.0,-0.017631642196613062,0.09395935642305564,0.0,0.0,-0.09545339038279266,0.0,-0.07805101274958803,0.06090145073107722,0.0,0.0,0.0,0.0,0.0,0.029042595236904667,0.0,0.0,0.0,0.0,0.0,0.015130489508805356
2023,0.0,0.0,-0.04035106509747799,0.0,-0.008844580108379518,0.10977994645792855,0.0,0.0,-0.07636040595588744,0.0,-0.06642371875862185,0.0733785182648996,0.0,0.0,0.0,0.0,0.0,0.043953346467261456,0.0,0.0,0.0,0.0,0.0,0.028917534219385033
2024,0.0,0.0,-0.027335029384092713,0.0,-0.002206954876452061,0.12552888544396756,0.0,0.0,-0.060355303317981224,0.0,-0.05756365948563258,0.08553405112628298,0.0,0.0,0.0,0.0,0.0,0.05870218434692265,0.0,0.0,0.0,0.0,0.0,0.042458505327397145
2025,0.0,0.0,-0.014966122520854386,0.0,0.0036169621840449473,0.1422279007941889,0.0,0.0,-0.04615926413011606,0.0,-0.05073076957312661,0.09783852423069472,0.0,0.0,0.0,0.0,0.0,0.07364978497752617,0.0,0.0,0.0,0.0,0.0,0.05563734194816439
2026,0.0,0.0,-0.003429253865941284,0.0,0.009599813084298248,0.16048634451027133,0.0,0.0,-0.033932765311182944,0.0,-0.04427044903304289,0.11048519887410291,0.0,0.0,-0.11416821749433337,0.0,0.0,0.08961056287402291,0.0,0.0,0.0,0.0,0.0,0.06901940273604357
2027,0.0,0.0,0.007225892520519084,0.0,0.012031342722850669,0.17599330059860385,0.0,0.0,-0.023021688812589147,0.0,-0.041184907226369805,0.12099349144162552,0.0,0.0,-0.0872170856088964,0.0,0.0,0.10323635643996143,0.0,0.0,-0.12272813395168913,0.0,0.0,0.07979440936767945
2028,0.0,0.0,0.017347929614997204,0.0,0.019219751045560063,0.19816920585946085,0.0,0.0,-0.013058176832375201,0.0,-0.034907742210531056,0.13493281710018845,0.0,0.0,-0.06770850043093901,0.0,-0.11762709580573283,0.12112660151621246,0.0,0.0,-0.09110617646583352,0.0,0.0,0.09417045899793064
2029,0.0,0.0,0.029081006935734788,0.0,0.027183369552174597,0.22776784158536678,0.0,0.0,-0.0026603687376626217,0.0,-0.02806914135333194,0.15118984807513858,0.0,0.0,-0.051604142575352174,0.0,-0.08487849832668992,0.13902085855433555,0.0,0.0,-0.07089700607999527,0.0,0.0,0.10659690424278812
2030,0.0,0.0,0.03805496711032674,0.0,0.030089475206965588,0.24934684791386297,0.0,0.0,0.006242107551713172,0.0,-0.024397022782618905,0.16480067658571196,0.0,0.0,-0.037540392207789375,0.0,-0.0665526226377795,0.15921630211289473,0.0,0.0,-0.05518966398541225,0.0,0.0,0.12465941703528882
2031,0.0,0.0,0.046382025880713496,0.0,0.0349131410764667,0.2770320547975813,0.0,0.0,0.014272466162125186,0.0,-0.02164412694154516,0.1776191174887356,0.0,0.0,-0.024630125275502457,0.0,-0.057131180002297666,0.17288515787106706,0.0,0.0,-0.04090275308212987,0.0,0.0,0.1365636353456552
2032,0.0,0.0,0.05318684376834781,0.0,0.03799621472910242,0.29446580625850705,0.0,0.0,0.02078157031433525,0.0,-0.01900525772893502,0.18675738877644998,0.0,0.0,-0.01349533375107026,0.0,-0.0477107649117362,0.18855649519938011,0.0,0.0,-0.029350562411845305,0.0,0.0,0.14589709086834435
