,capacity_optimistic,annex_optimistic,capacity_pessimistic,annex_pessimistic,capacity_max,annex_max,capacity_min,annex_min,capacity_mean,annex_mean
2009,0.00013829806516178522,0.0,0.00013829806516178522,0.0,0.00013829806516178522,0.0,0.00013829806516178522,0.0,0.00013829806516178522,0.0
2010,0.00023140052970620255,9.310246454441733e-05,0.00023140052970620255,9.310246454441733e-05,0.00023140052970620255,9.310246454441733e-05,0.00023140052970620255,9.310246454441733e-05,0.00023140052970620255,9.310246454441733e-05
2011,0.0003871794424305868,0.00015577891272438427,0.0003871794424305868,0.00015577891272438427,0.0003871794424305868,0.00015577891272438427,0.0003871794424305868,0.00015577891272438427,0.0003871794424305868,0.00015577891272438427
2012,0.0006478280135622904,0.0002606485711317036,0.0006478280135622904,0.0002606485711317036,0.0006478280135622904,0.0002606485711317036,0.0006478280135622904,0.0002606485711317036,0.0006478280135622904,0.0002606485711317036
2013,0.0010839426600282062,0.00043611464646591577,0.0010839426600282062,0.00043611464646591577,0.0010839426600282062,0.00043611464646591577,0.0010839426600282062,0.00043611464646591577,0.0010839426600282062,0.00043611464646591577
2014,0.0018136416187750264,0.0007296989587468202,0.0018136416187750264,0.0007296989587468202,0.0018136416187750264,0.0007296989587468202,0.0018136416187750264,0.0007296989587468202,0.0018136416187750264,0.0007296989587468202
2015,0.003034549742656265,0.0012209081238812388,0.003034549742656265,0.0012209081238812388,0.003034549742656265,0.0012209081238812388,0.003034549742656265,0.0012209081238812388,0.003034549742656265,0.0012209081238812388
2016,0.005077302884109707,0.002042753141453442,0.005077302884109707,0.002042753141453442,0.005077302884109707,0.002042753141453442,0.005077302884109707,0.002042753141453442,0.005077302884109707,0.002042753141453442
2017,0.00849503610921103,0.003417733225101323,0.00849503610921103,0.003417733225101323,0.00849503610921103,0.003417733225101323,0.00849503610921103,0.003417733225101323,0.00849503610921103,0.003417733225101323
2018,0.01421301632602278,0.00571798021681175,0.01421301632602278,0.00571798021681175,0.01421301632602278,0.00571798021681175,0.01421301632602278,0.00571798021681175,0.01421301632602278,0.00571798021681175
2019,0.023778730096841536,0.009565713770818756,0.023778730096841536,0.009565713770818756,0.023778730096841536,0.009565713770818756,0.023778730096841536,0.009565713770818756,0.023778730096841536,0.009565713770818756
2020,0.024738779514966447,0.0009600494181249107,0.024738779514966447,0.0009600494181249107,0.024738779514966447,0.0009600494181249107,0.024738779514966447,0.0009600494181249107,0.024738779514966447,0.0009600494181249107
2021,0.025737459736825404,0.0009986802218589566,0.025737459736825404,0.0009986802218589566,0.025891820276701408,0.0011530407617349608,0.025737459736825404,0.0009986802218589566,0.025737459736825404,0.0009986802218589566
2022,0.028022766888027528,0.002285307151202124,0.028022766888027528,0.002285307151202124,0.03002833817523775,0.004136517898536342,0.028022766888027528,0.002285307151202124,0.028022766888027528,0.002285307151202124
2023,0.030510095834406063,0.002487328946378535,0.030510095834406063,0.002487328946378535,0.03559054494837527,0.005562206773137519,0.030510095834406063,0.002487328946378535,0.030510095834406063,0.002487328946378535
