technology;registeration_year;stock_year;num_cars;sources;quality;date;modifier
tec_car;1983;2001;338701;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2002;242515;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2003;169418;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2004;128566;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2005;101635;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2006;90628;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2007;76720;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2008;48487;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2009;42752;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2010;38529;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2011;35582;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2012;33880;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2013;31870;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2014;32199;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2015;33427;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2016;34317;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2017;34838;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1983;2018;35351;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2001;452758;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2002;325538;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2003;231641;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2004;170057;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2005;133552;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2006;112060;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2007;92794;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2008;55802;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2009;48851;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2010;42062;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2011;38352;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2012;35709;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2013;33585;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2014;31520;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2015;32694;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2016;33752;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2017;34312;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1984;2018;34813;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2001;633487;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2002;478182;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2003;342428;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2004;256032;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2005;194846;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2006;161141;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2007;128687;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2008;74247;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2009;62377;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2010;52488;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2011;46242;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2012;42227;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2013;38750;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2014;36422;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2015;34718;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2016;35477;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2017;36282;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1985;2018;36810;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2001;1041729;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2002;811868;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2003;613083;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2004;458306;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2005;356608;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2006;282378;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2007;226746;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2008;122878;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2009;103723;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2010;82450;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2011;71638;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2012;62648;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2013;56598;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2014;51697;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2015;49123;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2016;46917;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2017;47243;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1986;2018;47968;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2001;1442983;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2002;1191844;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2003;930389;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2004;727078;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2005;560589;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2006;450558;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2007;354912;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2008;194441;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2009;157971;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2010;126254;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2011;106988;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2012;93931;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2013;81581;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2014;73419;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2015;67480;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2016;63679;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2017;60037;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1987;2018;59563;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2001;1680346;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2002;1440637;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2003;1186911;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2004;949444;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2005;761408;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2006;609458;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2007;492133;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2008;265086;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2009;221919;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2010;169272;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2011;145740;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2012;123478;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2013;108019;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2014;93905;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2015;86016;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2016;79541;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1988;2017;75104;KBA.2017b;1;2019-02-26;D. Baumann
