alternative;year;attribute;attribute_level
tec_pv_plus_battery;2020;att_CAPEX;7692
tec_pv_plus_battery;2020;att_envir;no_recyc
tec_pv_plus_battery;2020;att_pp_IRR;20
tec_pv_plus_battery;2020;att_self_suf;0.48
tec_pv_plus_battery;2020;att_time;<1
